nom_conjuntousina,num_nom_usina
CONJ. ACARAÚ II,2
CONJ. ACAUÃ,4
CONJ. AFONSO BEZERRA,6
CONJ. ANEMUS,3
CONJ. ARACATI II,3
CONJ. ARAÇÁS,6
CONJ. AREIA BRANCA,2
CONJ. ARIZONA,7
CONJ. ASA BRANCA,5
CONJ. ATLÂNTICA,4
CONJ. AVENTURA,4
CONJ. BABILÔNIA,5
CONJ. BABILÔNIA CENTRO,3
CONJ. BABILÔNIA SUL,5
CONJ. BAIXA DO FEIJÃO,7
CONJ. BLOCO SUL,6
CONJ. BOM JARDIM,4
CONJ. BRISA POTIGUAR I,7
CONJ. BROTAS DE MACAÚBAS,5
CONJ. BW GUIRAPÁ I,4
CONJ. BW GUIRAPÁ II,3
CONJ. CABEÇO PRETO II,6
CONJ. CACIMBAS,5
CONJ. CAETITÉ,3
CONJ. CAETITÉ 123,3
CONJ. CAETITÉ A,3
CONJ. CAETITÉ NORTE,5
CONJ. CAETÉS II,7
CONJ. CAJU,17
CONJ. CALANGO 1,2
CONJ. CALANGO 2,3
CONJ. CALANGO 3,3
CONJ. CAMPO DOS VENTOS,4
CONJ. CAMPO FORMOSO,6
CONJ. CAMPO LARGO,11
CONJ. CAMPO LARGO 2,11
CONJ. CANUDOS I,2
CONJ. CARNAÚBAS,4
CONJ. CASA NOVA,3
CONJ. CERRO CHATO,7
CONJ. CHAFARIZ NORTE,5
CONJ. CHAFARIZ SUL I,5
CONJ. CHAFARIZ SUL II,5
CONJ. CHAPADA I,7
CONJ. CHAPADA II,7
CONJ. CHAPADA III,8
CONJ. CRISTAL,3
CONJ. CRISTALÂNDIA,3
CONJ. CUMARU,5
CONJ. CURRAL NOVO DO PIAUI II 500 KV,10
CONJ. CURVA DOS VENTOS,2
CONJ. CUTIA,13
CONJ. DELFINA,8
CONJ. FAÍSA,9
CONJ. FOLHA LARGA,9
CONJ. FOLHA LARGA SUL,3
CONJ. GAMELEIRA,4
CONJ. GENTIO DO OURO I,13
CONJ. GPEXPAN,15
CONJ. ICARAÍ,5
CONJ. IGAPORÃ II,14
CONJ. IGAPORÃ III 500 KV,15
CONJ. ITAREMA V,9
CONJ. JANDAIA,5
CONJ. JANDAÍRA I,4
CONJ. JANDAÍRA III,2
CONJ. JERUSALÉM,8
CONJ. KAIROS,2
CONJ. LAGOA DO BARRO I,10
CONJ. LAGOA DOS BARROS,9
CONJ. LAGOA DOS VENTOS,21
CONJ. LARANJEIRAS,14
CONJ. LIVRAMENTO 3,3
CONJ. MACACOS,4
CONJ. MANGUE SECO,4
CONJ. MARMELEIRO 2,12
CONJ. MODELO,2
CONJ. MONTE DO RONCA,4
CONJ. MONTE VERDE,8
CONJ. MORRO DO CHAPÉU SUL,6
CONJ. MORRO DO CHAPÉU SUL II,9
CONJ. MORRO DOS VENTOS,6
CONJ. MORRO DOS VENTOS II,3
CONJ. MORRÃO,4
CONJ. MOSSORÓ II,15
CONJ. MUNDO NOVO,3
CONJ. NOVO HORIZONTE,10
CONJ. OESTE SERIDÓ,10
CONJ. OITIS,12
CONJ. OLHO D'ÁGUA,4
CONJ. OUROLÂNDIA II,12
CONJ. PAPAGAIOS,3
CONJ. PARANATAMA,8
CONJ. PAULINO NEVES,15
CONJ. PEDRA BRANCA,8
CONJ. PEDRA CHEIROSA,2
CONJ. PELOURINHO,2
CONJ. PINDAÍ II 230 KV,7
CONJ. PITOMBEIRA,5
CONJ. QUINTA 138 KV,4
CONJ. QUINTA 69 KV,3
CONJ. RENASCENÇA,5
CONJ. RENASCENÇA V,2
CONJ. RIACHÃO,5
CONJ. RIO DO VENTO,8
CONJ. RIO DO VENTO EXPANSÃO,8
CONJ. SANTA CLARA,7
CONJ. SANTA EUGÊNIA,14
CONJ. SANTA ROSA MUNDO NOVO,5
CONJ. SANTA ROSÁLIA,5
CONJ. SANTA VITÓRIA DO PALMAR,28
CONJ. SANTO AGOSTINHO,14
CONJ. SANTO INÁCIO,5
CONJ. SERRA AZUL,4
CONJ. SERRA DA BABILÔNIA,14
CONJ. SERRA DE SANTANA 1 E 2,4
CONJ. SERRA DE SANTANA 3,5
CONJ. SERRA DO ASSURUÁ,18
CONJ. SERRA DO MATO,6
CONJ. SERRA DO MEL A,11
CONJ. SERRA DO MEL B,8
CONJ. SERRA DO MEL II A,4
CONJ. SERRA DO MEL II B,6
CONJ. SERRA DO SERIDÓ,12
CONJ. SERROTE A,8
CONJ. SÃO BASÍLIO (EÓLICO),7
CONJ. SÃO CLEMENTE,8
CONJ. SÃO MIGUEL,2
CONJ. SÃO ROQUE,17
CONJ. TACARATU (EÓLICO),3
CONJ. TACARATU II,2
CONJ. TAMBORIL II,4
CONJ. TANQUE NOVO,7
CONJ. TAÍBA,3
CONJ. TERRA SANTA,2
CONJ. TRAIRÍ,8
CONJ. TUCANO,8
CONJ. UMARI,4
CONJ. UMBURANAS,18
CONJ. UNIÃO DOS VENTOS,13
CONJ. VENTOS DA BAHIA,8
CONJ. VENTOS DE SÃO VITOR,14
CONJ. VIAMÃO 3,3
CONJ. ÁGUA DOCE,6
CONJUNTO EÓLICO CURRAL NOVO DO PIAUI II 230KV,31
